Year,Rnd,Pick,Player,Pos,Tm,College/Univ
2019,1,1,Kyler Murray\MurrKy00,QB,ARI,Oklahoma
2019,1,6,Daniel Jones\JoneDa05,QB,NYG,Duke
2019,1,15,Dwayne Haskins\HaskDw00,QB,WAS,Ohio St.
2019,1,24,Josh Jacobs\JacoJo01,RB,OAK,Alabama
2019,1,25,Marquise Brown\BrowMa04,WR,BAL,Oklahoma
2019,1,32,N'Keal Harry\HarrNK00,WR,NWE,Arizona St.
2019,2,36,Deebo Samuel\SamuDe00,WR,SFO,South Carolina
2019,2,42,Drew Lock\LockDr00,QB,DEN,Missouri
2019,2,51,A.J. Brown\BrowAJ00,WR,TEN,Mississippi
2019,2,53,Miles Sanders\SandMi01,RB,PHI,Penn St.
2019,2,56,Mecole Hardman\HardMe00,WR,KAN,Georgia
2019,2,57,JJ Arcega-Whiteside\ArceJJ00,WR,PHI,Stanford
2019,2,59,Parris Campbell\CampPa00,WR,IND,Ohio St.
2019,2,62,Andy Isabella\IsabAn00,WR,ARI,Massachusetts
2019,2,64,D.K. Metcalf\MetcDK00,WR,SEA,Mississippi
2019,3,66,Diontae Johnson\JohnDi01,WR,PIT,Toledo
2019,3,67,Jalen Hurd\HurdJa00,WR,SFO,Baylor
2019,3,70,Darrell Henderson\HendDa00,RB,LAR,Memphis
2019,3,73,David Montgomery\MontDa01,RB,CHI,Iowa St.
2019,3,74,Devin Singletary\SingDe00,RB,BUF,Florida Atlantic
2019,3,76,Terry McLaurin\McLaTe00,WR,WAS,Ohio St.
2019,3,87,Damien Harris\HarrDa06,RB,NWE,Alabama
2019,3,93,Miles Boykin\BoykMi00,WR,BAL,Notre Dame
2019,3,100,Will Grier\GrieWi00,QB,CAR,West Virginia
2019,3,102,Alexander Mattison\MattAl01,RB,MIN,Boise St.
2019,4,103,Hakeem Butler\ButlHa00,WR,ARI,Iowa St.
2019,4,104,Ryan Finley\FinlRy00,QB,CIN,North Carolina St.
2019,4,112,Bryce Love\LoveBr00,RB,WAS,Stanford
2019,4,113,Justice Hill\HillJu00,RB,BAL,Oklahoma St.
2019,4,120,Gary Jennings Jr.\JennGa00,WR,SEA,West Virginia
2019,4,122,Benny Snell\SnelBe00,RB,PIT,Kentucky
2019,4,126,Riley Ridley\RidlRi00,WR,CHI,Georgia
2019,4,128,Tony Pollard\PollTo00,RB,DAL,Memphis
2019,4,133,Jarrett Stidham\StidJa00,QB,NWE,Auburn
2019,5,140,Ryquell Armstead\ArmsRy00,RB,JAX,Temple
2019,5,149,Hunter Renfrow\RenfHu00,WR,OAK,Clemson
2019,5,152,Qadree Ollison\OlliQa00,RB,ATL,Pittsburgh
2019,5,154,Jordan Scarlett\ScarJo00,RB,CAR,Florida
2019,5,166,Easton Stick\SticEa00,QB,LAC,North Dakota St.
2019,5,167,Clayton Thorson\ThorCl00,QB,PHI,Northwestern
2019,5,171,Darius Slayton\SlayDa01,WR,NYG,Auburn
2019,6,174,KeeSean Johnson\JohnKe07,WR,ARI,Fresno St.
2019,6,178,Gardner Minshew\MinsGa00,QB,JAX,Washington St.
2019,6,182,Trayveon Williams\WillTr06,RB,CIN,Texas A&M
2019,6,184,Travis Fulgham\FulgTr00,WR,DET,Old Dominion
2019,6,186,Ty Johnson\JohnTy02,RB,DET,Maryland
2019,6,187,Juwann Winfree\WinfJu00,WR,DEN,Colorado
2019,6,194,Dexter Williams\WillDe07,RB,GNB,Notre Dame
2019,6,197,Trace McSorley\McSoTr00,QB,BAL,Penn St.
2019,6,203,Marcus Green\GreeMa02,WR,ATL,La-Monroe
2019,6,204,Travis Homer\HomeTr00,RB,SEA,Miami (FL)
2019,6,206,Kelvin Harmon\HarmKe00,WR,WAS,North Carolina St.
2019,6,208,Scott Miller\MillSc01,WR,TAM,Bowling Green
2019,6,211,Rodney Anderson\AndeRo02,RB,CIN,Oklahoma
2019,6,214,Darwin Thompson\ThomDa06,RB,KAN,Utah St.
2019,7,218,Mike Weber\WebeMi00,RB,DAL,Ohio St.
2019,7,220,Cullen Gillaspia\GillCu00,RB,HOU,Texas A&M
2019,7,222,Kerrith Whyte Jr.\WhytKe00,RB,CHI,Florida Atlantic
2019,7,233,Chandler Cox\CoxxCh01,RB,MIA,Auburn
2019,7,234,Myles Gaskin\GaskMy00,RB,MIA,Washington
2019,7,236,John Ursua\UrsuJo00,WR,SEA,Hawaii
2019,7,237,Terry Godwin\GodwTe00,WR,CAR,Georgia
2019,7,239,Dillon Mitchell\MitcDi00,WR,MIN,Oregon
2019,7,247,Olabisi Johnson\JohnOl00,WR,MIN,Colorado St.
2018,1,1,Baker Mayfield\MayfBa00,QB,CLE,Oklahoma
2018,1,2,Saquon Barkley\BarkSa00,RB,NYG,Penn St.
2018,1,3,Sam Darnold\DarnSa00,QB,NYJ,USC
2018,1,7,Josh Allen\AlleJo02,QB,BUF,Wyoming
2018,1,10,Josh Rosen\RoseJo01,QB,ARI,UCLA
2018,1,24,D.J. Moore\MoorD.00,WR,CAR,Maryland
2018,1,26,Calvin Ridley\RidlCa00,WR,ATL,Alabama
2018,1,27,Rashaad Penny\PennRa00,RB,SEA,San Diego St.
2018,1,31,Sony Michel\MichSo00,RB,NWE,Georgia
2018,1,32,Lamar Jackson\JackLa00,QB,BAL,Louisville
2018,2,35,Nick Chubb\ChubNi00,RB,CLE,Georgia
2018,2,38,Ronald Jones\JoneRo01,RB,TAM,USC
2018,2,40,Courtland Sutton\SuttCo00,WR,DEN,SMU
2018,2,43,Kerryon Johnson\JohnKe06,RB,DET,Auburn
2018,2,44,Dante Pettis\PettDa00,WR,SFO,Washington
2018,2,47,Christian Kirk\KirkCh01,WR,ARI,Texas A&M
2018,2,51,Anthony Miller\MillAn02,WR,CHI,Memphis
2018,2,59,Derrius Guice\GuicDe00,RB,WAS,LSU
2018,2,60,James Washington\WashJa00,WR,PIT,Oklahoma St.
2018,2,61,DJ Chark\CharDJ00,WR,JAX,LSU
2018,3,71,Royce Freeman\FreeRo00,RB,DEN,Oregon
2018,3,76,Mason Rudolph\RudoMa00,QB,PIT,Oklahoma St.
2018,3,81,Michael Gallup\GallMi00,WR,DAL,Colorado St.
2018,3,91,Tre'Quan Smith\SmitTr03,WR,NOR,Central Florida
2018,4,103,Keke Coutee\CoutKe00,WR,HOU,Texas Tech
2018,4,104,Nyheim Hines\HineNy00,RB,IND,North Carolina St.
2018,4,105,Antonio Callaway\CallAn00,WR,CLE,Florida
2018,4,108,Kyle Lauletta\LaulKy00,QB,NYG,Richmond
2018,4,112,Mark Walton\WaltMa00,RB,CIN,Miami (FL)
2018,4,113,DaeSean Hamilton\HamiDa01,WR,DEN,Penn St.
2018,4,126,Ito Smith\SmitIt00,RB,ATL,Southern Miss
2018,4,131,Kalen Ballage\BallKa00,RB,MIA,Arizona St.
